Country,Sex,Economic Activity,Currency,Year,Earning
Indonesia,Sex: Total,Economic activity (Aggregate): Total,Currency: Local currency,2022,2690034.69
Indonesia,Sex: Total,Economic activity (Aggregate): Total,Currency: 2017 PPP $,2022,550.19
Indonesia,Sex: Total,Economic activity (Aggregate): Total,Currency: U.S. dollars,2022,181.15
Indonesia,Sex: Total,Economic activity (Aggregate): Agriculture,Currency: Local currency,2022,1531773.08
Indonesia,Sex: Total,Economic activity (Aggregate): Agriculture,Currency: 2017 PPP $,2022,313.29
Indonesia,Sex: Total,Economic activity (Aggregate): Agriculture,Currency: U.S. dollars,2022,103.15
Indonesia,Sex: Total,Economic activity (Aggregate): Manufacturing,Currency: Local currency,2022,2802049.97
Indonesia,Sex: Total,Economic activity (Aggregate): Manufacturing,Currency: 2017 PPP $,2022,573.1
Indonesia,Sex: Total,Economic activity (Aggregate): Manufacturing,Currency: U.S. dollars,2022,188.69
Indonesia,Sex: Total,Economic activity (Aggregate): Construction,Currency: Local currency,2022,2580279.15
Indonesia,Sex: Total,Economic activity (Aggregate): Construction,Currency: 2017 PPP $,2022,527.74
Indonesia,Sex: Total,Economic activity (Aggregate): Construction,Currency: U.S. dollars,2022,173.76
Indonesia,Sex: Total,"Economic activity (Aggregate): Mining and quarrying; Electricity, gas and water supply",Currency: Local currency,2022,3830233.35
Indonesia,Sex: Total,"Economic activity (Aggregate): Mining and quarrying; Electricity, gas and water supply",Currency: 2017 PPP $,2022,783.39
Indonesia,Sex: Total,"Economic activity (Aggregate): Mining and quarrying; Electricity, gas and water supply",Currency: U.S. dollars,2022,257.93
Indonesia,Sex: Total,"Economic activity (Aggregate): Trade, Transportation, Accommodation and Food, and Business and Administrative Services",Currency: Local currency,2022,3016989.81
Indonesia,Sex: Total,"Economic activity (Aggregate): Trade, Transportation, Accommodation and Food, and Business and Administrative Services",Currency: 2017 PPP $,2022,617.06
Indonesia,Sex: Total,"Economic activity (Aggregate): Trade, Transportation, Accommodation and Food, and Business and Administrative Services",Currency: U.S. dollars,2022,203.17
Indonesia,Sex: Total,"Economic activity (Aggregate): Public Administration, Community, Social and other Services and Activities",Currency: Local currency,2022,2869904.54
Indonesia,Sex: Total,"Economic activity (Aggregate): Public Administration, Community, Social and other Services and Activities",Currency: 2017 PPP $,2022,586.98
Indonesia,Sex: Total,"Economic activity (Aggregate): Public Administration, Community, Social and other Services and Activities",Currency: U.S. dollars,2022,193.26
Indonesia,Sex: Male,Economic activity (Aggregate): Total,Currency: Local currency,2022,2895368.45
Indonesia,Sex: Male,Economic activity (Aggregate): Total,Currency: 2017 PPP $,2022,592.19
Indonesia,Sex: Male,Economic activity (Aggregate): Total,Currency: U.S. dollars,2022,194.98
Indonesia,Sex: Male,Economic activity (Aggregate): Agriculture,Currency: Local currency,2022,1750292.12
Indonesia,Sex: Male,Economic activity (Aggregate): Agriculture,Currency: 2017 PPP $,2022,357.98
Indonesia,Sex: Male,Economic activity (Aggregate): Agriculture,Currency: U.S. dollars,2022,117.87
Indonesia,Sex: Male,Economic activity (Aggregate): Manufacturing,Currency: Local currency,2022,3118249.52
Indonesia,Sex: Male,Economic activity (Aggregate): Manufacturing,Currency: 2017 PPP $,2022,637.77
Indonesia,Sex: Male,Economic activity (Aggregate): Manufacturing,Currency: U.S. dollars,2022,209.99
Indonesia,Sex: Male,Economic activity (Aggregate): Construction,Currency: Local currency,2022,2546772.35
Indonesia,Sex: Male,Economic activity (Aggregate): Construction,Currency: 2017 PPP $,2022,520.89
Indonesia,Sex: Male,Economic activity (Aggregate): Construction,Currency: U.S. dollars,2022,171.5
Indonesia,Sex: Male,"Economic activity (Aggregate): Mining and quarrying; Electricity, gas and water supply",Currency: Local currency,2022,3809196.78
Indonesia,Sex: Male,"Economic activity (Aggregate): Mining and quarrying; Electricity, gas and water supply",Currency: 2017 PPP $,2022,779.09
Indonesia,Sex: Male,"Economic activity (Aggregate): Mining and quarrying; Electricity, gas and water supply",Currency: U.S. dollars,2022,256.51
Indonesia,Sex: Male,"Economic activity (Aggregate): Trade, Transportation, Accommodation and Food, and Business and Administrative Services",Currency: Local currency,2022,3179244
Indonesia,Sex: Male,"Economic activity (Aggregate): Trade, Transportation, Accommodation and Food, and Business and Administrative Services",Currency: 2017 PPP $,2022,650.25
Indonesia,Sex: Male,"Economic activity (Aggregate): Trade, Transportation, Accommodation and Food, and Business and Administrative Services",Currency: U.S. dollars,2022,214.09
Indonesia,Sex: Male,"Economic activity (Aggregate): Public Administration, Community, Social and other Services and Activities",Currency: Local currency,2022,3407051.58
Indonesia,Sex: Male,"Economic activity (Aggregate): Public Administration, Community, Social and other Services and Activities",Currency: 2017 PPP $,2022,696.84
Indonesia,Sex: Male,"Economic activity (Aggregate): Public Administration, Community, Social and other Services and Activities",Currency: U.S. dollars,2022,229.43
Indonesia,Sex: Female,Economic activity (Aggregate): Total,Currency: Local currency,2022,2269100
Indonesia,Sex: Female,Economic activity (Aggregate): Total,Currency: 2017 PPP $,2022,464.1
Indonesia,Sex: Female,Economic activity (Aggregate): Total,Currency: U.S. dollars,2022,152.8
Indonesia,Sex: Female,Economic activity (Aggregate): Agriculture,Currency: Local currency,2022,950947.91
Indonesia,Sex: Female,Economic activity (Aggregate): Agriculture,Currency: 2017 PPP $,2022,194.5
Indonesia,Sex: Female,Economic activity (Aggregate): Agriculture,Currency: U.S. dollars,2022,64.04
Indonesia,Sex: Female,Economic activity (Aggregate): Manufacturing,Currency: Local currency,2022,2274794.53
Indonesia,Sex: Female,Economic activity (Aggregate): Manufacturing,Currency: 2017 PPP $,2022,465.26
Indonesia,Sex: Female,Economic activity (Aggregate): Manufacturing,Currency: U.S. dollars,2022,153.19
